,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
6,2006-10-30,INTC,12.647701263427734,21.260000228881836,21.329999923706055,21.020000457763672,41171900.0,0.0,-0.00023203276011685148,21.95388740051532,20.880398335568664,41.1955115262641,-125.56752678427333,12.569895885082977,21.417142868041992,21.417142868041992,0.0
6,2006-10-30,MSFT,20.112506866455078,28.530000686645508,28.84000015258789,28.350000381469727,47296800.0,0.0,-0.00036269697035606896,28.552046208606658,28.207953747796804,42.42083848907619,111.07027401636002,7.83286967212598,28.37999997820173,28.37999997820173,0.0
6,2006-10-30,NVDA,0.5007447004318237,0.5461670160293579,0.5558329820632935,0.5433329939842224,479592000.0,0.0,0.0012245138579198844,0.5676350191126576,0.5176029607762584,52.00327089651627,14.770165214112136,24.53120058851195,0.542618989944458,0.542618989944458,0.0
6,2006-10-30,QCOM,23.42599868774414,36.7400016784668,36.93000030517578,36.689998626708984,15543100.0,0.0,-0.056679465411221486,38.83261903769468,36.29023819235555,30.15257572436414,-141.55300957347754,13.696497245069622,37.561428615025115,37.561428615025115,0.0
7,2006-10-31,AAPL,2.431673526763916,2.895714044570923,2.9171431064605713,2.9089291095733643,501474400.0,1.0,0.002761266456321465,2.961377682434925,2.811926064742199,68.15461074372533,27.007574597627645,22.819238235728147,2.886651873588562,2.886651873588562,0.0
7,2006-10-31,AMD,21.270000457763672,21.270000457763672,21.56999969482422,21.31999969482422,17571200.0,1.0,0.04929751862609422,21.821851736329357,19.955647939421375,53.841924588120236,70.66220560201627,53.96322125105984,20.888749837875366,20.888749837875366,0.0
7,2006-10-31,AMZN,1.9045000076293945,1.9045000076293945,1.9294999837875366,1.9110000133514404,124208000.0,1.0,0.020693083363972242,2.061264505287399,1.5262355006730655,94.19772976072636,60.01523194441437,94.4786533231713,1.7937500029802322,1.7937500029802322,0.0
7,2006-10-31,BIDU,8.727999687194824,8.727999687194824,9.907999992370605,9.899999618530273,127623000.0,1.0,0.06275856440251104,9.792849218262013,7.901900852309886,77.48254963292857,143.37623743013916,55.57809319039643,8.84737503528595,8.84737503528595,0.0
7,2006-10-31,GOOG,11.776947021484375,11.865276336669922,12.008987426757812,11.906869888305664,252358369.0,1.0,0.02376168306025228,12.31836996018976,11.3398279196015,69.46455374396469,14.508560584893212,26.85511284875714,11.82909893989563,11.82909893989563,0.0
7,2006-10-31,INTC,12.695291519165039,21.34000015258789,21.43000030517578,21.31999969482422,55491300.0,1.0,-0.005021987439882025,21.906653942227372,20.90334600055217,52.98637061332122,-54.145606341310106,2.9412507548336633,21.40499997138977,21.40499997138977,0.0
7,2006-10-31,MSFT,20.239398956298828,28.709999084472656,28.850000381469727,28.65999984741211,61861700.0,1.0,0.013072669382637514,28.6691088181758,28.160891105530254,59.79116196116023,171.75111563343037,21.102151925854443,28.414999961853027,28.414999961853027,0.0
7,2006-10-31,NVDA,0.532833993434906,0.5811669826507568,0.5811669826507568,0.5581669807434082,996174000.0,1.0,0.0016560504136285958,0.5701997951902249,0.5189251823984287,61.09003827351222,145.6420616047738,54.566282447845595,0.5445624887943268,0.5445624887943268,0.0
7,2006-10-31,QCOM,23.202829360961914,36.38999938964844,37.20000076293945,36.970001220703125,14697600.0,1.0,-0.07054556043170379,38.736488513553525,36.2385118679162,35.02947619273155,-102.09280861490309,13.696497245069619,37.48750019073486,37.48750019073486,0.0
8,2006-11-01,AAPL,2.374091625213623,2.8271429538726807,2.9064290523529053,2.8964290618896484,611192400.0,2.0,0.002548798116792206,2.957941070769244,2.8175353849192324,64.13864707218687,-61.9239580616382,15.252706196877611,2.8877382278442383,2.8877382278442383,0.0
8,2006-11-01,AMD,20.729999542236328,20.729999542236328,21.34000015258789,21.239999771118164,23508500.0,2.0,0.054942856782911775,21.83148013989133,20.024075076580022,52.274307228417165,19.680303421325235,37.16093173488517,20.927777608235676,20.927777608235676,0.0
8,2006-11-01,AMZN,1.878000020980835,1.878000020980835,1.909999966621399,1.906499981880188,133378000.0,2.0,0.021234323196082316,2.0675602567576976,1.5449953000694236,92.64032669413781,46.84511799083791,80.28340810264538,1.8062777784135606,1.8062777784135606,0.0
8,2006-11-01,BIDU,8.480999946594238,8.480999946594238,8.836000442504883,8.625,82277000.0,2.0,0.03706897611519899,9.719416005985316,7.925917390078596,46.001481078744405,-50.298409197222824,14.23976243196777,8.822666698031956,8.822666698031956,0.0
8,2006-11-01,GOOG,11.557175636291504,11.643856048583984,11.933520317077637,11.924304962158203,217865564.0,2.0,0.02252570549752342,12.301728674333098,11.37762609929429,70.00340251531794,-29.1575497888743,18.671279562777084,11.839677386813694,11.839677386813694,0.0
8,2006-11-01,INTC,12.504920959472656,21.020000457763672,21.420000076293945,21.3700008392334,57883600.0,2.0,-0.005781790525077213,21.87094523005153,20.931277127804375,54.557389113429544,-79.80436834526017,4.0030537799209815,21.401111178927952,21.401111178927952,0.0
8,2006-11-01,MSFT,20.309890747070312,28.809999465942383,28.989999771118164,28.780000686645508,75895900.0,2.0,0.028131180147269674,28.79571915164753,28.115392044234635,64.12507476179292,165.72124751865329,31.643764676895213,28.455555597941082,28.455555597941082,0.0
8,2006-11-01,NVDA,0.49172845482826233,0.5363330245018005,0.5788329839706421,0.5734999775886536,1176540000.0,2.0,0.0026904096365772956,0.5785556901900794,0.5169998404639801,67.64075180045394,68.82099335415182,50.4360959196842,0.5477777653270297,0.5477777653270297,0.0
8,2006-11-01,QCOM,22.782011032104492,35.72999954223633,36.900001525878906,36.79999923706055,18774600.0,2.0,-0.08750860692276774,38.66611931496587,36.15610307679846,33.557832771790586,-124.29535148711847,21.972033470271064,37.411111195882164,37.411111195882164,0.0
9,2006-11-02,AAPL,2.368691921234131,2.820713996887207,2.8328568935394287,2.818571090698242,465483200.0,3.0,-0.0016494163669502626,2.960159222368622,2.801483805890655,46.48831122174266,-156.08329269089748,19.83180906503663,2.8808215141296385,2.8808215141296385,0.0
9,2006-11-02,AMD,20.850000381469727,20.850000381469727,21.059999465942383,20.6200008392334,16829700.0,3.0,0.02621241371662819,21.770971814184833,20.02302804848607,42.38148354224083,-29.077256849229816,20.587610582037957,20.89699993133545,20.89699993133545,0.0
9,2006-11-02,AMZN,1.872499942779541,1.872499942779541,1.8884999752044678,1.8665000200271606,108946000.0,3.0,0.01924895711470409,2.061566583234422,1.5630334219154196,80.41489089370336,31.414206760520912,66.42786504021092,1.8123000025749207,1.8123000025749207,0.0
9,2006-11-02,BIDU,8.711000442504883,8.711000442504883,8.75,8.392000198364258,24747000.0,3.0,0.006304492959861463,9.667855495100325,7.891344601030048,42.72017082343347,-54.57910469210443,3.8917585009942015,8.779600048065186,8.779600048065186,0.0
9,2006-11-02,GOOG,11.616753578186035,11.70388126373291,11.799023628234863,11.643856048583984,210253137.0,3.0,0.006875473152874179,12.27298433995335,11.367206166028094,54.11349307720514,-78.9739020457123,6.056926892197978,11.820095252990722,11.820095252990722,0.0
9,2006-11-02,INTC,12.302656173706055,20.68000030517578,20.920000076293945,20.639999389648438,68204800.0,3.0,-0.04383855177784568,21.979166173721296,20.670833826278702,36.25822941506306,-199.18584838391726,38.69295037717283,21.325,21.325,0.0
9,2006-11-02,MSFT,20.281696319580078,28.770000457763672,28.860000610351562,28.709999084472656,58674400.0,3.0,0.034798270316404256,28.839818889234863,28.122181003953614,60.20886420121462,102.10210468218044,11.592606202921004,28.48099994659424,28.48099994659424,0.0
9,2006-11-02,NVDA,0.48836731910705566,0.5326669812202454,0.5504999756813049,0.5388330221176147,862944000.0,3.0,0.0015993417749596839,0.576447299948834,0.5173192820633424,48.53087653499282,-58.0884781137442,12.638961100334264,0.5468832910060882,0.5468832910060882,0.0
9,2006-11-02,QCOM,23.183712005615234,36.36000061035156,36.400001525878906,35.75,21291000.0,3.0,-0.15235335803281203,38.82732636972799,35.662673782859905,26.45624569463071,-128.7707151291036,0.9442418570373297,37.24500007629395,37.24500007629395,0.0
10,2006-11-03,AAPL,2.34799861907959,2.7960710525512695,2.8403570652008057,2.8342859745025635,431888800.0,4.0,-0.0038227616487347404,2.956918464276764,2.7962635567775904,49.396009204161764,-125.05128005979915,19.831809065036634,2.8765910105271773,2.8765910105271773,0.0
10,2006-11-03,AMD,20.8799991607666,20.8799991607666,21.09000015258789,20.950000762939453,17719200.0,4.0,0.02266466659091293,21.731556492926114,20.07207988458188,47.818886060071605,-2.5109566357435043,21.637050636380884,20.901818188753996,20.901818188753996,0.0
10,2006-11-03,AMZN,1.8730000257492065,1.8730000257492065,1.8854999542236328,1.8804999589920044,102482000.0,4.0,0.01829020401439241,2.0585245874544804,1.5784754097711946,81.30801049697754,33.15212393893982,64.60181915673834,1.8184999986128374,1.8184999986128374,0.0
10,2006-11-03,BIDU,8.687000274658203,8.687000274658203,8.958000183105469,8.711000442504883,22350000.0,4.0,0.0009800942098721066,9.617051579493065,7.929675861080888,47.97596374732533,-11.327879306533289,3.8917585009942033,8.773363720286977,8.773363720286977,0.0
10,2006-11-03,GOOG,11.663477897644043,11.750954627990723,11.799522399902344,11.761664390563965,197043811.0,4.0,0.0017462507898784452,12.245874051475406,11.38369266133754,58.23330959430136,-47.9053042047376,9.538457629595465,11.814783356406473,11.814783356406473,0.0
10,2006-11-03,INTC,12.260807037353516,20.510000228881836,20.690000534057617,20.65999984741211,47924400.0,4.0,-0.06965863588085597,22.00342919963947,20.525661681708186,36.8584792869416,-175.34276925318622,47.688416603345935,21.264545440673828,21.264545440673828,0.0
10,2006-11-03,MSFT,20.253494262695312,28.729999542236328,28.93000030517578,28.850000381469727,41124500.0,4.0,0.04658664742044749,28.921226074404878,28.10786480694278,64.67258795265744,104.90300112131936,11.592606202921015,28.514545440673828,28.514545440673828,0.0
10,2006-11-03,NVDA,0.4981464445590973,0.5433329939842224,0.5440000295639038,0.5386670231819153,548070000.0,4.0,0.0007796456810910124,0.5746175019090433,0.5176552132260109,48.46305414901607,-47.37781143472226,20.424992992717698,0.5461363575675271,0.5461363575675271,0.0
10,2006-11-03,QCOM,23.25384521484375,36.470001220703125,37.619998931884766,36.290000915527344,33224500.0,4.0,-0.16830571610903888,38.765983488577,35.55038045296242,33.898455168749265,-53.18748847639416,2.1041769219664603,37.15818197076971,37.15818197076971,0.0
11,2006-11-06,AAPL,2.3905866146087646,2.8467860221862793,2.859286069869995,2.819643020629883,434576800.0,0.0,-0.006168493120164431,2.9551936107336156,2.7884970786711896,46.93755631547376,-77.46284136692537,2.1430132186309834,2.8718453447024026,2.8718453447024026,0.0
11,2006-11-06,AMD,21.389999389648438,21.389999389648438,21.479999542236328,21.1200008392334,17919800.0,0.0,0.029093555362155854,21.721090430994018,20.118909721593873,50.317457428046914,69.98156639239595,36.41499776115141,20.920000076293945,20.920000076293945,0.0
